epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,667.986,0.86486,0.67004,0.16411,0.60168,0.46472,0.48579,0.21257,0.80078,0.47875,0.10634,0.000476143,0.000476143,0.000476143
2,1224,0.75254,0.48256,0.11274,0.643,0.45343,0.51675,0.23227,0.77476,0.47912,0.10349,0.000921044,0.000921044,0.000921044
3,1769.78,0.74143,0.48022,0.11112,0.64653,0.43752,0.48966,0.21398,0.78326,0.48135,0.10338,0.00133451,0.00133451,0.00133451
4,2319.99,0.73185,0.47948,0.10735,0.65905,0.49947,0.54234,0.24682,0.77023,0.46249,0.09633,0.00128753,0.00128753,0.00128753
5,2874.82,0.72007,0.47143,0.10381,0.66873,0.48805,0.53676,0.23341,0.75562,0.47301,0.10251,0.00124037,0.00124037,0.00124037
6,3426.26,0.70509,0.47476,0.10078,0.68517,0.48644,0.54099,0.23477,0.76804,0.46209,0.09628,0.00119322,0.00119322,0.00119322
7,3982.71,0.70177,0.47125,0.09924,0.63811,0.5193,0.54013,0.24127,0.75882,0.47166,0.09336,0.00114606,0.00114606,0.00114606
8,4538.43,0.69884,0.47397,0.10023,0.6272,0.49338,0.53327,0.23924,0.74183,0.47682,0.09513,0.0010989,0.0010989,0.0010989
9,5090.74,0.69314,0.46995,0.09925,0.64837,0.49055,0.55399,0.24803,0.76045,0.46662,0.09662,0.00105174,0.00105174,0.00105174
10,5646.79,0.69278,0.46501,0.09881,0.70184,0.52316,0.58075,0.25891,0.74802,0.4706,0.09286,0.00100459,0.00100459,0.00100459
11,6201.43,0.69411,0.46614,0.09924,0.68329,0.51164,0.56729,0.26067,0.73936,0.46315,0.09533,0.00095743,0.00095743,0.00095743
12,6754.05,0.68698,0.45988,0.09575,0.68404,0.5202,0.56286,0.2488,0.74735,0.45814,0.09397,0.000910273,0.000910273,0.000910273
13,7308.28,0.68425,0.46714,0.09533,0.76324,0.50464,0.57447,0.25083,0.75322,0.45628,0.0985,0.000863116,0.000863116,0.000863116
14,7864.52,0.67597,0.46449,0.09498,0.76147,0.51743,0.58226,0.25891,0.74768,0.45715,0.09762,0.000815959,0.000815959,0.000815959
15,8418.74,0.67524,0.46398,0.09469,0.69178,0.5271,0.56493,0.25061,0.74101,0.45977,0.0924,0.000768802,0.000768802,0.000768802
16,8973.21,0.6695,0.46278,0.09415,0.68208,0.53513,0.55675,0.24078,0.74983,0.45784,0.09635,0.000721645,0.000721645,0.000721645
17,9531.11,0.67692,0.46529,0.09543,0.68213,0.56044,0.58151,0.25973,0.74747,0.45408,0.09859,0.000674488,0.000674488,0.000674488
18,10085.6,0.66975,0.46493,0.09348,0.66885,0.56907,0.57417,0.25264,0.75373,0.46173,0.10074,0.000627331,0.000627331,0.000627331
19,10640.4,0.66675,0.46381,0.09247,0.71507,0.56256,0.61192,0.27135,0.76071,0.45137,0.09902,0.000580174,0.000580174,0.000580174
20,11198.3,0.66712,0.45697,0.09191,0.69137,0.57827,0.59867,0.27129,0.73931,0.45294,0.0964,0.000533017,0.000533017,0.000533017
21,11752.6,0.6571,0.45541,0.08987,0.72421,0.54202,0.59589,0.26825,0.74246,0.4636,0.09984,0.00048586,0.00048586,0.00048586
22,12307,0.65392,0.45652,0.08912,0.68402,0.54952,0.60448,0.27685,0.71948,0.46361,0.08944,0.000438703,0.000438703,0.000438703
23,12864.3,0.64731,0.45324,0.08726,0.71054,0.56633,0.61607,0.27827,0.72029,0.46028,0.09254,0.000391546,0.000391546,0.000391546
24,13421.2,0.64557,0.45381,0.08702,0.68213,0.57834,0.62078,0.27646,0.72811,0.4588,0.09338,0.000344389,0.000344389,0.000344389
25,13974.5,0.63912,0.4539,0.08545,0.69103,0.58238,0.61798,0.28438,0.71663,0.46275,0.09249,0.000297232,0.000297232,0.000297232
26,14534.1,0.63607,0.45034,0.08575,0.67463,0.58444,0.61491,0.27891,0.71923,0.46444,0.09136,0.000250075,0.000250075,0.000250075
27,15093.6,0.62966,0.45031,0.08418,0.67756,0.60806,0.6318,0.28896,0.70635,0.46327,0.09023,0.000202918,0.000202918,0.000202918
28,15648,0.62798,0.44914,0.0833,0.72754,0.59333,0.62786,0.28977,0.70404,0.466,0.09057,0.000155761,0.000155761,0.000155761
29,16205.4,0.62169,0.44615,0.08164,0.7374,0.59073,0.63349,0.28538,0.71376,0.45965,0.08775,0.000108604,0.000108604,0.000108604
30,16767.3,0.61995,0.44379,0.08084,0.74156,0.59501,0.62977,0.28707,0.71268,0.45575,0.08968,6.1447e-05,6.1447e-05,6.1447e-05
